0,1,1,success,0.1,0.03,0.51,0.21,0.86,264750;28423;267668;263360;264300;36138;210320;211224;328073;396616;55915;207590;50957;11920;203423;396611;396721;396573;140072;36628;262983;396561;136530;209557;64063;263732;49975;138482;396615;41732;140731;48325;36622;60524;205603;211940;203236;262612;51859;397212;25887;328594;62075;60614;269104;263653;265811;53045;205788;267490;271760;28479;396639;266303;28002;142289;50242;400442;211380;396564;61583;265487;265867;263959;213326;33664;399445;136734;63932;264279;207149;39651;267361;29625;265461;266551;211358;263565;264084;264244;141767;211604;396560;394989;61588;207936;396664;265209;36618;41018;48579;269657;269253;266312;28311;52275;272220;397210;55016;269347;131935;264457;27664;212279;396584;16191;30165;264354;22122;264513;210122;3677;36621;137707;37301;34868;396608;396572;11025;211946;36617;268508;55038;265623;36624;37420;36912;40916;27841;211562;35457;205322;265779;267396;31549;396565;212425;36626;36627;13436;271927;11808;269956;64199;328825;138042;59678;212276;396586;11399;141717;147120;212389;205531;25249;136308;267765;262363;12414;1299;7922;33666
1,1,1,success,0.1,0.02,0.21,0.16,0.49,48544;24961;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732;396615;138482;49975;263732;64063;209557;136530;396561;262983;36628;140072;396573;396721;396611;203423;11920;50957;207590;55915;396616;328073;211224;210320;36138;264300;263360;267668;28423;264750;38712;203786;272554;204508;266261;50530;134478;3974;36890;197709;61161;263098;328014;200242;396715;28245;265097;199591;267733;202952;36632;29422;271175;267523;264608;140973;141073;264237;211622;59715;41497;131621;209844;5615;269037;63991;270078;52592;10320;36629;142419;136039;30992;47950;263929;264971;396587;198644;213045;396578;142582
2,5,2,success,0.09,0.02,0.02,0.13,0.26,14361;6461;47787;266968
3,1,1,success,0.08,0.02,0.02,0.03,0.15,396575;7342;8426;26415;396686
4,1,1,success,0.11,0.02,0.08,0.14,0.35,8283;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946
5,1,1,success,0.11,0.02,0.11,0.11,0.36,397204;7342;24961;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732;396615;138482;49975;263732;64063;209557;136530;396561;262983;36628;140072;396573;396721;396611;203423;11920;50957;207590;55915;396616;328073;211224;210320;36138;264300;263360;267668;28423;264750;38712;203786;272554;204508;266261;50530;134478;3974;36890;197709;61161;263098;328014;200242;396715;28245;265097;199591;267733;202952;36632;29422;271175;267523;264608;140973;141073;264237;211622;59715;41497;131621;209844;5615;269037;63991;270078;52592;10320;36629;142419;136039;30992;47950;263929;264971;396587;198644;213045;396578;142582;53059;264645;265662;269497;61577;132960;199177;36915;267408;61449;48252;262492;36616;139328;396551;208135;36620;38013;132021;266979;266372;53176
6,1,1,success,0.08,0.02,0.04,0.15,0.28,19836;7342;24961;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584
7,18,1,success,0.08,0.02,0.04,0.11,0.25,11260;60501;202365;52818
8,1,1,success,0.1,0.06,0.36,0.12,0.64,14065;7843;1299;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732
9,1,1,success,0.1,0.02,0.15,0.08,0.34,269194;174;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732;396615;138482;49975;263732;64063;209557;136530;396561;262983;36628;140072;396573;396721;396611;203423;11920;50957;207590;55915;396616;328073;211224;210320;36138;264300;263360;267668;28423;264750
10,1,1,success,0.1,0.02,0.04,0.11,0.27,44034;8283;3491;36955
11,2,1,success,0.07,0.02,0.04,0.11,0.25,57187;4809;3356;7015
12,1,1,success,0.13,0.06,0.21,0.09,0.49,10886;1299;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149
13,1,1,success,0.1,0.02,0.24,0.08,0.44,263653;265811;53045;205788;267490;271760;28479;396639;266303;28002;142289;50242;400442;211380;396564;61583;265487;265867;263959;213326;33664;399445;136734;63932;264279;207149;39651;267361;29625;265461;266551;211358;263565;264084;264244;141767;211604;396560;394989;61588;207936;396664;265209;36618;41018;48579;269657;269253;266312;28311;52275;272220;397210;55016;269347;131935;264457;27664;212279;396584;16191;30165;264354;22122;264513;210122;3677;36621;137707;37301;34868;396608;396572;11025;211946;36617;268508;55038;265623;36624;37420;36912;40916;27841;211562;35457;205322;265779;267396;31549;396565;212425;36626;36627;13436;271927;11808;269956;64199;328825;138042;59678;212276;396586;11399;141717;147120;212389;205531;25249;136308;267765;262363;12414;63927;397197
14,1,1,success,0.11,0.02,0.09,0.19,0.42,20928;8426;26415;396739
15,1,1,success,0.07,0.02,0.13,0.11,0.33,396549;7342;24961;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779
16,1,1,success,0.12,0.02,0.07,0.07,0.28,207574;41666;1103;7342;397211
17,1,1,success,0.1,0.03,0.09,0.15,0.37,267563;16735;3356;7843;13343
18,1,1,success,0.1,0.02,0.02,0.1,0.24,263032;37721;7342;397208
19,1,1,success,0.1,0.04,0.13,0.08,0.35,44530;41327;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322
20,1,1,success,0.11,0.03,0.25,0.08,0.47,396707;26415;8426;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732;396615;138482;49975;263732;64063;209557;136530;396561;262983;36628;140072;396573;396721;396611;203423;11920;50957;207590;55915;396616;328073;211224;210320;36138;264300;263360;267668;28423;264750;38712;203786;272554;204508;266261;50530;134478;3974;36890;197709;61161;263098;328014;200242;396715;28245;265097;199591;267733;202952;36632;29422;271175;267523;264608;140973;141073;264237;211622;59715;41497;131621;209844;5615;269037;63991;270078;52592;10320;36629;142419;136039;30992;47950;263929;264971;396587;198644;213045
21,1,1,success,0.11,0.02,0.08,0.11,0.32,28186;6057;1299;19782;87
22,1,1,success,0.1,0.05,0.31,0.12,0.58,22122;264513;210122;3677;36621;137707;37301;34868;396608;396572;11025;211946;36617;268508;55038;265623;36624;37420;36912;40916;27841;211562;35457;205322;265779;267396;31549;396565;212425;36626;36627;13436;271927;11808;269956;64199;328825;138042;59678;212276;396586;11399;141717;147120;212389;205531;25249;136308;267765;262363;12414;60501;16735
23,1,1,success,0.07,0.02,0.08,0.12,0.29,53047;37721;12414;262363;267765;136308;25249;205531;212389;147120;141717;11399;396586;212276;59678;138042;328825;64199;269956;11808;271927;13436;36627;36626;212425;396565;31549;267396;265779;205322;35457;211562;27841;40916;36912;37420;36624;265623;55038;268508;36617;211946;11025;396572;396608;34868;37301;137707;36621;3677;210122;264513;22122;264354;30165;16191;396584;212279;27664;264457;131935;269347;55016;397210;272220;52275;28311;266312;269253;269657;48579;41018;36618;265209;396664;207936;61588;394989;396560;211604;141767;264244;264084;263565;211358;266551;265461;29625;267361;39651;207149;264279;63932;136734;399445;33664;213326;263959;265867;265487;61583;396564;211380;400442;50242;142289;28002;266303;396639;28479;271760;267490;205788;53045;265811;263653;269104;60614;62075;328594;25887;397212;51859;262612;203236;211940;205603;60524;36622;48325;140731;41732;396615;138482;49975;263732;64063;209557;136530;396561;262983;36628;140072;396573;396721;396611;203423;11920;50957;207590;55915;396616;328073;211224;210320;36138;264300;263360;267668;28423;264750;38712;203786;272554;204508;266261;50530;134478;3974;36890;197709;61161;263098;328014;200242;396715;28245;265097;199591;267733;202952;36632;29422;271175;267523;264608;140973;141073;264237;211622;59715;41497;131621;209844;5615;269037;63991;270078;52592;10320;36629
24,1,1,success,0.09,0.07,0.04,0.16,0.36,3456;7843;6461;174;2549
